#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
UBC	FOXO3	1852861	1852227	9606.ENSP00000344818	9606.ENSP00000339527	0	0	0	0	0	0.962	0	0	0.962
NEDD4L	SMAD2	1858810	1845079	9606.ENSP00000383199	9606.ENSP00000262160	0	0	0	0	0	0.630	0.900	0	0.961
SMAD3	MYOD1	1851536	1843984	9606.ENSP00000332973	9606.ENSP00000250003	0	0	0	0	0	0.632	0.900	0	0.961
NEDD9	SMAD3	1857032	1851536	9606.ENSP00000368759	9606.ENSP00000332973	0	0	0	0	0	0.960	0	0	0.960
TFDP1	CDK2	1856285	1845906	9606.ENSP00000364519	9606.ENSP00000266970	0	0	0	0	0.093	0.598	0.900	0	0.960
EIF2C4	EIF2C3	1855854	1855848	9606.ENSP00000362306	9606.ENSP00000362287	0	0	0	0.985	0	0.621	0.900	0	0.960
AR	HDAC1	1856164	1855935	9606.ENSP00000363822	9606.ENSP00000362649	0	0	0	0	0	0.960	0	0	0.960
SP1	MAPK14	1851138	1843222	9606.ENSP00000329357	9606.ENSP00000229794	0	0	0	0	0	0.623	0.900	0	0.960
UBC	RUNX1	1852861	1848173	9606.ENSP00000344818	9606.ENSP00000300305	0	0	0	0	0	0.960	0	0	0.960
HDAC1	CDKN1A	1855935	1843736	9606.ENSP00000362649	9606.ENSP00000244741	0	0	0	0	0	0.961	0	0	0.960
SMAD3	CDC25A	1851536	1848560	9606.ENSP00000332973	9606.ENSP00000303706	0	0	0	0	0	0.619	0.900	0	0.960
ETS1	MAPK14	1858032	1843222	9606.ENSP00000376436	9606.ENSP00000229794	0	0	0	0	0	0.623	0.900	0	0.960
CTNNB1	SMAD3	1852818	1851536	9606.ENSP00000344456	9606.ENSP00000332973	0	0	0	0	0	0.960	0	0	0.960
KAT2B	MAPK14	1845408	1843222	9606.ENSP00000263754	9606.ENSP00000229794	0	0	0	0	0	0.622	0.900	0	0.960
EIF2C1	TP53	1855852	1846083	9606.ENSP00000362300	9606.ENSP00000269305	0	0	0	0	0	0.619	0.900	0	0.960
MAPK11	SP1	1851615	1851138	9606.ENSP00000333685	9606.ENSP00000329357	0	0	0	0	0	0.615	0.900	0	0.959
SMAD4	JUNB	1852473	1848518	9606.ENSP00000341551	9606.ENSP00000303315	0	0	0	0	0	0.608	0.900	0	0.959
ACVR2B	SMAD2	1852317	1845079	9606.ENSP00000340361	9606.ENSP00000262160	0	0	0	0	0.131	0.567	0.900	0	0.959
RBBP7	UBC	1857150	1852861	9606.ENSP00000369424	9606.ENSP00000344818	0	0	0	0	0	0.958	0	0	0.958
CDKN2A	SP1	1859838	1851138	9606.ENSP00000394932	9606.ENSP00000329357	0	0	0	0	0	0.598	0.900	0	0.958
RBBP4	E2F1	1855919	1852951	9606.ENSP00000362592	9606.ENSP00000345571	0	0	0	0	0	0.598	0.900	0	0.958
MAPK11	MAPK14	1851615	1843222	9606.ENSP00000333685	9606.ENSP00000229794	0	0	0.527	0.983	0	0.594	0.900	0	0.958
CTNNB1	FOXO3	1852818	1852227	9606.ENSP00000344456	9606.ENSP00000339527	0	0	0	0	0	0.601	0.900	0	0.958
MAPK14	ESR1	1843222	1842435	9606.ENSP00000229794	9606.ENSP00000206249	0	0	0	0	0	0.601	0.900	0	0.958
RBBP4	UBC	1855919	1852861	9606.ENSP00000362592	9606.ENSP00000344818	0	0	0	0	0	0.958	0	0	0.958
SMAD7	TGFB1	1845078	1842869	9606.ENSP00000262158	9606.ENSP00000221930	0	0	0	0	0	0.599	0.900	0	0.958
SMAD3	TGFB1	1851536	1842869	9606.ENSP00000332973	9606.ENSP00000221930	0	0	0	0	0	0.605	0.900	0	0.958
NCOR2	SKIL	1858893	1844666	9606.ENSP00000384018	9606.ENSP00000259119	0	0	0	0	0	0.604	0.900	0	0.958
CDKN2A	TRIP12	1859838	1846877	9606.ENSP00000394932	9606.ENSP00000283943	0	0	0	0	0	0.959	0	0	0.958
FOXO1	CTNNB1	1857055	1852818	9606.ENSP00000368880	9606.ENSP00000344456	0	0	0	0	0	0.601	0.900	0	0.958
SMAD2	TGFB1	1845079	1842869	9606.ENSP00000262160	9606.ENSP00000221930	0	0	0	0	0	0.605	0.900	0	0.958
ENG	TGFBR2	1855851	1853779	9606.ENSP00000362299	9606.ENSP00000351905	0	0	0	0	0	0.913	0.540	0	0.958
PIK3CA	PDGFRB	1845446	1844996	9606.ENSP00000263967	9606.ENSP00000261799	0	0	0	0	0	0.596	0.900	0	0.957
FOS	ESR1	1848822	1842435	9606.ENSP00000306245	9606.ENSP00000206249	0	0	0	0	0	0.590	0.900	0	0.957
SP1	CDKN2B	1851138	1846519	9606.ENSP00000329357	9606.ENSP00000276925	0	0	0	0	0	0.592	0.900	0	0.957
ZBTB17	CDKN2B	1856370	1846519	9606.ENSP00000364895	9606.ENSP00000276925	0	0	0	0	0	0.588	0.900	0	0.957
NCOR2	CREBBP	1858893	1845124	9606.ENSP00000384018	9606.ENSP00000262367	0	0	0	0	0.110	0.564	0.900	0	0.957
HDAC1	KAT2B	1855935	1845408	9606.ENSP00000362649	9606.ENSP00000263754	0	0	0	0	0.094	0.566	0.900	0	0.957
JAK2	PDGFRB	1857411	1844996	9606.ENSP00000371067	9606.ENSP00000261799	0	0	0	0.616	0	0.593	0.900	0	0.957
NCOR2	EP300	1858893	1845316	9606.ENSP00000384018	9606.ENSP00000263253	0	0	0	0	0.110	0.564	0.900	0	0.957
HDAC2	KAT2B	1861837	1845408	9606.ENSP00000430432	9606.ENSP00000263754	0	0	0	0	0.094	0.566	0.900	0	0.957
ACVR2B	SMAD7	1852317	1845078	9606.ENSP00000340361	9606.ENSP00000262158	0	0	0	0	0.072	0.573	0.900	0	0.956
AR	HNF4A	1856164	1849587	9606.ENSP00000363822	9606.ENSP00000312987	0	0	0	0.654	0	0.579	0.900	0	0.956
HNF4A	ESR1	1849587	1842435	9606.ENSP00000312987	9606.ENSP00000206249	0	0	0	0.688	0	0.581	0.900	0	0.956
VDR	HNF4A	1862386	1849587	9606.ENSP00000447173	9606.ENSP00000312987	0	0	0	0.652	0	0.585	0.900	0	0.956
EP300	MAPK14	1845316	1843222	9606.ENSP00000263253	9606.ENSP00000229794	0	0	0	0	0	0.585	0.900	0	0.956
MDM2	ABL1	1861282	1855665	9606.ENSP00000417281	9606.ENSP00000361423	0	0	0	0	0	0.576	0.900	0	0.955
PDGFD	PDGFRB	1858075	1844996	9606.ENSP00000376865	9606.ENSP00000261799	0	0	0	0	0	0.576	0.900	0	0.955
E2F4	SMAD3	1857021	1851536	9606.ENSP00000368686	9606.ENSP00000332973	0	0	0	0	0	0.569	0.900	0	0.955
ETS1	SP1	1858032	1851138	9606.ENSP00000376436	9606.ENSP00000329357	0	0	0	0	0	0.576	0.900	0	0.955
SMAD2	NUP153	1845079	1845057	9606.ENSP00000262160	9606.ENSP00000262077	0	0	0	0	0	0.576	0.900	0	0.955
KAT2B	CCND1	1845408	1843117	9606.ENSP00000263754	9606.ENSP00000227507	0	0	0	0	0	0.576	0.900	0	0.955
STRAP	SMAD3	1859630	1851536	9606.ENSP00000392270	9606.ENSP00000332973	0	0	0	0	0	0.570	0.900	0	0.955
SIN3A	SKIL	1854005	1844666	9606.ENSP00000353622	9606.ENSP00000259119	0	0	0	0	0	0.569	0.900	0	0.955
SMAD3	AXIN1	1851536	1845118	9606.ENSP00000332973	9606.ENSP00000262320	0	0	0	0	0	0.576	0.900	0	0.955
FOXO1	SMAD3	1857055	1851536	9606.ENSP00000368880	9606.ENSP00000332973	0	0	0	0	0	0.573	0.900	0	0.955
MYC	CTNNB1	1856789	1852818	9606.ENSP00000367207	9606.ENSP00000344456	0	0	0	0	0	0.570	0.900	0	0.955
CXCR4	SDC4	1859216	1855743	9606.ENSP00000386884	9606.ENSP00000361818	0	0	0	0	0	0.576	0.900	0	0.955
FOXO4	SMAD3	1856074	1851536	9606.ENSP00000363377	9606.ENSP00000332973	0	0	0	0	0	0.573	0.900	0	0.955
TGFBR1	SPTBN1	1856216	1853414	9606.ENSP00000364133	9606.ENSP00000349259	0	0	0	0	0	0.573	0.900	0	0.955
FOXO4	SMAD4	1856074	1852473	9606.ENSP00000363377	9606.ENSP00000341551	0	0	0	0	0	0.573	0.900	0	0.955
APOA1	CETP	1843442	1842395	9606.ENSP00000236850	9606.ENSP00000200676	0	0	0	0	0	0.576	0.900	0	0.955
CXCR4	JAK2	1859216	1857411	9606.ENSP00000386884	9606.ENSP00000371067	0	0	0	0	0	0.570	0.900	0	0.955
UBA52	UBE2D1	1859324	1856011	9606.ENSP00000388107	9606.ENSP00000363019	0	0	0	0	0	0.571	0.900	0	0.955
CITED1	EP300	1859353	1845316	9606.ENSP00000388548	9606.ENSP00000263253	0	0	0	0	0	0.576	0.900	0	0.955
ATF2	CCND1	1845482	1843117	9606.ENSP00000264110	9606.ENSP00000227507	0	0	0	0	0	0.576	0.900	0	0.955
ARRB1	GNAS	1860799	1855402	9606.ENSP00000409581	9606.ENSP00000360141	0	0	0	0	0	0.576	0.900	0	0.955
RBL1	SMAD2	1855962	1845079	9606.ENSP00000362768	9606.ENSP00000262160	0	0	0	0	0	0.569	0.900	0	0.955
SPTBN1	SMAD3	1853414	1851536	9606.ENSP00000349259	9606.ENSP00000332973	0	0	0	0	0	0.573	0.900	0	0.955
RBL1	SMAD4	1855962	1852473	9606.ENSP00000362768	9606.ENSP00000341551	0	0	0	0	0	0.569	0.900	0	0.955
SMAD3	MED15	1851536	1845304	9606.ENSP00000332973	9606.ENSP00000263205	0	0	0	0	0	0.573	0.900	0	0.955
FOXO4	FOXG1	1856074	1852163	9606.ENSP00000363377	9606.ENSP00000339004	0	0	0	0.644	0	0.573	0.900	0	0.955
ACVR1B	TDGF1	1862229	1847689	9606.ENSP00000442656	9606.ENSP00000296145	0	0	0	0	0	0.576	0.900	0	0.955
CITED1	SMAD4	1859353	1852473	9606.ENSP00000388548	9606.ENSP00000341551	0	0	0	0	0	0.576	0.900	0	0.955
RNF111	AXIN1	1847116	1845118	9606.ENSP00000288199	9606.ENSP00000262320	0	0	0	0	0	0.576	0.900	0	0.955
MAPK11	TP53	1851615	1846083	9606.ENSP00000333685	9606.ENSP00000269305	0	0	0	0	0	0.576	0.900	0	0.955
IRF7	CREBBP	1851145	1845124	9606.ENSP00000329411	9606.ENSP00000262367	0	0	0	0	0	0.576	0.900	0	0.955
FOXO1	FOXG1	1857055	1852163	9606.ENSP00000368880	9606.ENSP00000339004	0	0	0	0.643	0	0.573	0.900	0	0.955
SMAD4	HNF4A	1852473	1849587	9606.ENSP00000341551	9606.ENSP00000312987	0	0	0	0	0	0.576	0.900	0	0.955
FOXO3	FOXG1	1852227	1852163	9606.ENSP00000339527	9606.ENSP00000339004	0	0	0	0.640	0	0.573	0.900	0	0.955
AR	ESR1	1856164	1842435	9606.ENSP00000363822	9606.ENSP00000206249	0	0	0	0.692	0	0.576	0.900	0	0.955
AR	NR3C1	1856164	1843294	9606.ENSP00000363822	9606.ENSP00000231509	0	0	0	0.825	0	0.576	0.900	0	0.955
RGS6	GNB1	1862736	1856899	9606.ENSP00000451030	9606.ENSP00000367869	0	0	0	0	0	0.571	0.900	0	0.955
AR	SMAD4	1856164	1852473	9606.ENSP00000363822	9606.ENSP00000341551	0	0	0	0	0	0.576	0.900	0	0.955
TGFBR2	PML	1853779	1845989	9606.ENSP00000351905	9606.ENSP00000268058	0	0	0	0	0	0.569	0.900	0	0.955
MYC	SMAD3	1856789	1851536	9606.ENSP00000367207	9606.ENSP00000332973	0	0	0	0	0	0.576	0.900	0	0.955
CXCL12	CCR10	1858332	1851480	9606.ENSP00000379140	9606.ENSP00000332504	0	0	0	0	0	0.576	0.900	0	0.955
MED15	SMAD2	1845304	1845079	9606.ENSP00000263205	9606.ENSP00000262160	0	0	0	0	0	0.573	0.900	0	0.955
IRF7	KAT2B	1851145	1845408	9606.ENSP00000329411	9606.ENSP00000263754	0	0	0	0	0	0.576	0.900	0	0.955
STRAP	SMAD2	1859630	1845079	9606.ENSP00000392270	9606.ENSP00000262160	0	0	0	0	0	0.570	0.900	0	0.955
FOXO1	CEBPB	1857055	1848728	9606.ENSP00000368880	9606.ENSP00000305422	0	0	0	0	0	0.576	0.900	0	0.955
SMAD3	PPM1A	1851536	1850907	9606.ENSP00000332973	9606.ENSP00000327255	0	0	0	0	0	0.576	0.900	0	0.955
ATF2	EP300	1845482	1845316	9606.ENSP00000264110	9606.ENSP00000263253	0	0	0	0	0	0.569	0.900	0	0.955
CEBPB	CREBBP	1848728	1845124	9606.ENSP00000305422	9606.ENSP00000262367	0	0	0	0	0	0.576	0.900	0	0.955
ARRB1	GNB1	1860799	1856899	9606.ENSP00000409581	9606.ENSP00000367869	0	0	0	0	0	0.576	0.900	0	0.955
EP300	NR3C1	1845316	1843294	9606.ENSP00000263253	9606.ENSP00000231509	0	0	0	0	0	0.576	0.900	0	0.955
ARRB1	HCK	1860799	1856392	9606.ENSP00000409581	9606.ENSP00000365012	0	0	0	0	0	0.576	0.900	0	0.955
UBE2D1	CREBBP	1856011	1845124	9606.ENSP00000363019	9606.ENSP00000262367	0	0	0	0	0	0.569	0.900	0	0.955
FOXO1	SMAD4	1857055	1852473	9606.ENSP00000368880	9606.ENSP00000341551	0	0	0	0	0	0.573	0.900	0	0.955
BMI1	MAPK14	1856537	1843222	9606.ENSP00000365851	9606.ENSP00000229794	0	0	0	0	0	0.573	0.900	0	0.955
SMAD4	KPNB1	1852473	1847208	9606.ENSP00000341551	9606.ENSP00000290158	0	0	0	0	0	0.576	0.900	0	0.955
MYC	ESR1	1856789	1842435	9606.ENSP00000367207	9606.ENSP00000206249	0	0	0	0	0	0.576	0.900	0	0.955
SMAD4	ATF2	1852473	1845482	9606.ENSP00000341551	9606.ENSP00000264110	0	0	0	0	0	0.576	0.900	0	0.955
SMAD3	PML	1851536	1845989	9606.ENSP00000332973	9606.ENSP00000268058	0	0	0	0	0	0.569	0.900	0	0.955
E2F5	CREBBP	1860048	1845124	9606.ENSP00000398124	9606.ENSP00000262367	0	0	0	0	0	0.576	0.900	0	0.955
TGFB2	TGFB3	1854475	1843496	9606.ENSP00000355896	9606.ENSP00000238682	0	0	0	0.959	0	0.569	0.900	0	0.955
SMAD4	CTCF	1852473	1845456	9606.ENSP00000341551	9606.ENSP00000264010	0	0	0	0	0	0.576	0.900	0	0.955
AR	KAT2B	1856164	1845408	9606.ENSP00000363822	9606.ENSP00000263754	0	0	0	0	0	0.576	0.900	0	0.955
SMAD3	MTMR4	1851536	1850721	9606.ENSP00000332973	9606.ENSP00000325285	0	0	0	0	0	0.576	0.900	0	0.955
TGFBR1	PML	1856216	1845989	9606.ENSP00000364133	9606.ENSP00000268058	0	0	0	0	0	0.569	0.900	0	0.955
BCAR1	HCK	1859585	1856392	9606.ENSP00000391669	9606.ENSP00000365012	0	0	0	0	0	0.569	0.900	0	0.955
SKI	HDAC1	1856887	1855935	9606.ENSP00000367797	9606.ENSP00000362649	0	0	0	0	0	0.569	0.900	0	0.955
E2F4	E2F1	1857021	1852951	9606.ENSP00000368686	9606.ENSP00000345571	0	0	0	0.727	0	0.576	0.900	0	0.955
SMAD3	KPNB1	1851536	1847208	9606.ENSP00000332973	9606.ENSP00000290158	0	0	0	0	0	0.576	0.900	0	0.955
RBL1	SMAD3	1855962	1851536	9606.ENSP00000362768	9606.ENSP00000332973	0	0	0	0	0	0.569	0.900	0	0.955
MYC	AXIN1	1856789	1845118	9606.ENSP00000367207	9606.ENSP00000262320	0	0	0	0	0	0.574	0.900	0	0.955
TDGF1	ACVR1C	1847689	1843668	9606.ENSP00000296145	9606.ENSP00000243349	0	0	0	0	0	0.576	0.900	0	0.955
MYC	RBL1	1856789	1855962	9606.ENSP00000367207	9606.ENSP00000362768	0	0	0	0	0	0.576	0.900	0	0.955
TGFBR2	SMAD4	1853779	1852473	9606.ENSP00000351905	9606.ENSP00000341551	0	0	0	0	0.072	0.564	0.900	0	0.955
HMGA2	SMAD3	1858894	1851536	9606.ENSP00000384026	9606.ENSP00000332973	0	0	0	0	0	0.576	0.900	0	0.955
MEN1	SMAD3	1851960	1851536	9606.ENSP00000337088	9606.ENSP00000332973	0	0	0	0	0	0.576	0.900	0	0.955
ADCY5	GNAS	1861410	1855402	9606.ENSP00000419361	9606.ENSP00000360141	0	0	0	0	0	0.576	0.900	0	0.955
JUN	SMAD4	1855436	1852473	9606.ENSP00000360266	9606.ENSP00000341551	0	0	0	0	0	0.569	0.900	0	0.955
MTMR4	SMAD2	1850721	1845079	9606.ENSP00000325285	9606.ENSP00000262160	0	0	0	0	0	0.576	0.900	0	0.955
HDAC1	SMAD4	1855935	1852473	9606.ENSP00000362649	9606.ENSP00000341551	0	0	0	0	0	0.570	0.900	0	0.955
MYC	SMAD2	1856789	1845079	9606.ENSP00000367207	9606.ENSP00000262160	0	0	0	0	0	0.576	0.900	0	0.955
SMAD4	MED15	1852473	1845304	9606.ENSP00000341551	9606.ENSP00000263205	0	0	0	0	0	0.573	0.900	0	0.955
E2F1	CDKN2C	1852951	1845196	9606.ENSP00000345571	9606.ENSP00000262662	0	0	0	0	0	0.576	0.900	0	0.955
CDKN2A	E2F1	1859838	1852951	9606.ENSP00000394932	9606.ENSP00000345571	0	0	0	0	0	0.576	0.900	0	0.955
PPM1A	SMAD2	1850907	1845079	9606.ENSP00000327255	9606.ENSP00000262160	0	0	0	0	0	0.576	0.900	0	0.955
E2F1	CDKN1A	1852951	1843736	9606.ENSP00000345571	9606.ENSP00000244741	0	0	0	0	0	0.576	0.900	0	0.955
SMAD4	CDKN2B	1852473	1846519	9606.ENSP00000341551	9606.ENSP00000276925	0	0	0	0	0	0.570	0.900	0	0.955
AXIN1	PIN1	1845118	1843886	9606.ENSP00000262320	9606.ENSP00000247970	0	0	0	0	0	0.574	0.900	0	0.955
PML	SMAD2	1845989	1845079	9606.ENSP00000268058	9606.ENSP00000262160	0	0	0	0	0	0.569	0.900	0	0.955
NCOR2	CEBPB	1858893	1848728	9606.ENSP00000384018	9606.ENSP00000305422	0	0	0	0	0	0.569	0.900	0	0.955
SMURF1	TGFBR2	1854172	1853779	9606.ENSP00000354621	9606.ENSP00000351905	0	0	0	0	0	0.569	0.900	0	0.955
CCL25	CCR10	1857886	1851480	9606.ENSP00000375086	9606.ENSP00000332504	0	0	0	0	0	0.575	0.900	0	0.955
CREBBP	CCND1	1845124	1843117	9606.ENSP00000262367	9606.ENSP00000227507	0	0	0	0	0	0.570	0.900	0	0.955
ETS1	FOS	1858032	1848822	9606.ENSP00000376436	9606.ENSP00000306245	0	0	0	0	0	0.576	0.900	0	0.955
HDAC2	CDKN1A	1861837	1843736	9606.ENSP00000430432	9606.ENSP00000244741	0	0	0	0	0	0.569	0.900	0	0.955
SMAD2	MAPK1	1845079	1842512	9606.ENSP00000262160	9606.ENSP00000215832	0	0	0	0	0	0.576	0.900	0	0.955
CITED1	CREBBP	1859353	1845124	9606.ENSP00000388548	9606.ENSP00000262367	0	0	0	0	0	0.576	0.900	0	0.955
FOXO3	SMAD2	1852227	1845079	9606.ENSP00000339527	9606.ENSP00000262160	0	0	0	0	0	0.573	0.900	0	0.955
SMAD3	HNF4A	1851536	1849587	9606.ENSP00000332973	9606.ENSP00000312987	0	0	0	0	0	0.576	0.900	0	0.955
HDAC1	SKIL	1855935	1844666	9606.ENSP00000362649	9606.ENSP00000259119	0	0	0	0	0	0.569	0.900	0	0.955
E2F5	SMAD3	1860048	1851536	9606.ENSP00000398124	9606.ENSP00000332973	0	0	0	0	0	0.569	0.900	0	0.955
MYC	MEN1	1856789	1851960	9606.ENSP00000367207	9606.ENSP00000337088	0	0	0	0	0	0.572	0.900	0	0.955
E2F1	EP300	1852951	1845316	9606.ENSP00000345571	9606.ENSP00000263253	0	0	0	0	0	0.569	0.900	0	0.955
ARRB1	FGR	1860799	1856028	9606.ENSP00000409581	9606.ENSP00000363115	0	0	0	0	0	0.576	0.900	0	0.955
FOXH1	SMAD4	1856663	1852473	9606.ENSP00000366534	9606.ENSP00000341551	0	0	0	0	0	0.576	0.900	0	0.955
TGFBR2	SMAD3	1853779	1851536	9606.ENSP00000351905	9606.ENSP00000332973	0	0	0	0	0.072	0.564	0.900	0	0.955
E2F4	SMAD2	1857021	1845079	9606.ENSP00000368686	9606.ENSP00000262160	0	0	0	0	0	0.569	0.900	0	0.955
SMAD3	ATF2	1851536	1845482	9606.ENSP00000332973	9606.ENSP00000264110	0	0	0	0	0	0.576	0.900	0	0.955
CDKN2A	RNF2	1859838	1854609	9606.ENSP00000394932	9606.ENSP00000356480	0	0	0	0	0	0.576	0.900	0	0.955
VAV1	CXCR4	1864873	1859216	9606.ENSP00000472929	9606.ENSP00000386884	0	0	0	0	0	0.576	0.900	0	0.955
TGFBR2	ZFYVE9	1853779	1847085	9606.ENSP00000351905	9606.ENSP00000287727	0	0	0	0	0	0.564	0.900	0	0.954
SMAD4	IRF7	1852473	1851145	9606.ENSP00000341551	9606.ENSP00000329411	0	0	0	0	0	0.566	0.900	0	0.954
FOXG1	SMAD2	1852163	1845079	9606.ENSP00000339004	9606.ENSP00000262160	0	0	0	0	0	0.564	0.900	0	0.954
SMAD3	NUP153	1851536	1845057	9606.ENSP00000332973	9606.ENSP00000262077	0	0	0	0	0	0.566	0.900	0	0.954
CTNNB1	SMAD4	1852818	1852473	9606.ENSP00000344456	9606.ENSP00000341551	0	0	0	0	0	0.566	0.900	0	0.954
GNA13	CTNNB1	1860237	1852818	9606.ENSP00000400717	9606.ENSP00000344456	0	0	0	0	0	0.567	0.900	0	0.954
CDKN2A	CDKN2C	1859838	1845196	9606.ENSP00000394932	9606.ENSP00000262662	0	0	0	0.821	0	0.564	0.900	0	0.954
JUN	CDKN1A	1855436	1843736	9606.ENSP00000360266	9606.ENSP00000244741	0	0	0	0	0	0.566	0.900	0	0.954
SMAD4	CREBBP	1852473	1845124	9606.ENSP00000341551	9606.ENSP00000262367	0	0	0	0	0	0.567	0.900	0	0.954
ZBTB17	MAX	1856370	1853721	9606.ENSP00000364895	9606.ENSP00000351490	0	0	0	0	0	0.566	0.900	0	0.954
SMAD3	DAB2	1851536	1849619	9606.ENSP00000332973	9606.ENSP00000313391	0	0	0	0	0	0.564	0.900	0	0.954
SMAD4	FOXG1	1852473	1852163	9606.ENSP00000341551	9606.ENSP00000339004	0	0	0	0	0	0.564	0.900	0	0.954
SMAD3	STUB1	1851536	1842759	9606.ENSP00000332973	9606.ENSP00000219548	0	0	0	0	0	0.567	0.900	0	0.954
MAX	SMAD4	1853721	1852473	9606.ENSP00000351490	9606.ENSP00000341551	0	0	0	0	0	0.564	0.900	0	0.954
FOXO1	EP300	1857055	1845316	9606.ENSP00000368880	9606.ENSP00000263253	0	0	0	0	0	0.564	0.900	0	0.954
FKBP1A	SMAD7	1857423	1845078	9606.ENSP00000371138	9606.ENSP00000262158	0	0	0	0	0	0.567	0.900	0	0.954
DAB2	SMAD2	1849619	1845079	9606.ENSP00000313391	9606.ENSP00000262160	0	0	0	0	0	0.564	0.900	0	0.954
TGIF2	SMAD3	1856003	1851536	9606.ENSP00000362979	9606.ENSP00000332973	0	0	0	0	0	0.566	0.900	0	0.954
SMAD4	ESR1	1852473	1842435	9606.ENSP00000341551	9606.ENSP00000206249	0	0	0	0	0	0.567	0.900	0	0.954
FOXG1	SMAD3	1852163	1851536	9606.ENSP00000339004	9606.ENSP00000332973	0	0	0	0	0	0.564	0.900	0	0.954
SKI	RPS27A	1856887	1846244	9606.ENSP00000367797	9606.ENSP00000272317	0	0	0	0	0	0.568	0.900	0	0.954
SMAD3	IRF7	1851536	1851145	9606.ENSP00000332973	9606.ENSP00000329411	0	0	0	0	0	0.566	0.900	0	0.954
NUP214	SMAD3	1853838	1851536	9606.ENSP00000352400	9606.ENSP00000332973	0	0	0	0	0	0.566	0.900	0	0.954
ETS1	ETS2	1858032	1853968	9606.ENSP00000376436	9606.ENSP00000353344	0	0	0	0.944	0	0.564	0.900	0	0.954
UBA52	STUB1	1859324	1842759	9606.ENSP00000388107	9606.ENSP00000219548	0	0	0	0	0	0.567	0.900	0	0.954
ETS2	FOS	1853968	1848822	9606.ENSP00000353344	9606.ENSP00000306245	0	0	0	0	0	0.564	0.900	0	0.954
TGFBR2	CTNNB1	1853779	1852818	9606.ENSP00000351905	9606.ENSP00000344456	0	0	0	0	0	0.566	0.900	0	0.954
TGFBR1	DAB2	1856216	1849619	9606.ENSP00000364133	9606.ENSP00000313391	0	0	0	0	0	0.564	0.900	0	0.954
S1PR2	GNA13	1863970	1860237	9606.ENSP00000466933	9606.ENSP00000400717	0	0	0	0	0	0.567	0.900	0	0.954
NCOR2	E2F4	1858893	1857021	9606.ENSP00000384018	9606.ENSP00000368686	0	0	0	0	0	0.566	0.900	0	0.954
TGFBR2	DAB2	1853779	1849619	9606.ENSP00000351905	9606.ENSP00000313391	0	0	0	0	0	0.564	0.900	0	0.954
GNAI3	ESR1	1855121	1842435	9606.ENSP00000358867	9606.ENSP00000206249	0	0	0	0	0	0.564	0.900	0	0.954
E2F5	EP300	1860048	1845316	9606.ENSP00000398124	9606.ENSP00000263253	0	0	0	0	0	0.564	0.900	0	0.954
PML	EP300	1845989	1845316	9606.ENSP00000268058	9606.ENSP00000263253	0	0	0	0	0	0.567	0.900	0	0.954
TGFBR1	ZFYVE9	1856216	1847085	9606.ENSP00000364133	9606.ENSP00000287727	0	0	0	0	0	0.564	0.900	0	0.954
UBE2D1	HIF1A	1856011	1852062	9606.ENSP00000363019	9606.ENSP00000338018	0	0	0	0	0	0.567	0.900	0	0.954
TGIF2	HDAC1	1856003	1855935	9606.ENSP00000362979	9606.ENSP00000362649	0	0	0	0	0	0.566	0.900	0	0.954
NUP214	SMAD4	1853838	1852473	9606.ENSP00000352400	9606.ENSP00000341551	0	0	0	0	0	0.566	0.900	0	0.954
SIN3A	SMAD3	1854005	1851536	9606.ENSP00000353622	9606.ENSP00000332973	0	0	0	0	0	0.567	0.900	0	0.954
E2F4	SIN3A	1857021	1854005	9606.ENSP00000368686	9606.ENSP00000353622	0	0	0	0	0	0.567	0.900	0	0.954
SP1	CDKN1A	1851138	1843736	9606.ENSP00000329357	9606.ENSP00000244741	0	0	0	0	0	0.567	0.900	0	0.954
CDKN2A	CDKN1B	1859838	1843169	9606.ENSP00000394932	9606.ENSP00000228872	0	0	0	0	0	0.567	0.900	0	0.954
BBS10	CCT3	1858086	1847605	9606.ENSP00000376946	9606.ENSP00000295688	0	0	0	0.615	0.737	0.829	0	0	0.953
CCT4	MKKS	1858199	1843796	9606.ENSP00000377958	9606.ENSP00000246062	0	0	0	0.616	0.770	0.806	0	0	0.953
HDAC1	SUZ12	1855935	1849881	9606.ENSP00000362649	9606.ENSP00000316578	0	0	0	0	0	0.552	0.900	0	0.953
CCT3	MKKS	1847605	1843796	9606.ENSP00000295688	9606.ENSP00000246062	0	0	0	0.625	0.737	0.829	0	0	0.953
RBL1	CDK6	1855962	1845799	9606.ENSP00000362768	9606.ENSP00000265734	0	0	0	0	0	0.770	0.800	0	0.952
CCT5	HSPE1	1846664	1843372	9606.ENSP00000280326	9606.ENSP00000233893	0	0	0	0	0.916	0.451	0	0	0.951
TCP1	HSPE1	1849952	1843372	9606.ENSP00000317334	9606.ENSP00000233893	0	0	0	0	0.916	0.451	0	0	0.951
BBS10	HSPE1	1858086	1843372	9606.ENSP00000376946	9606.ENSP00000233893	0	0	0	0	0.916	0.451	0	0	0.951
CCT4	HSPE1	1858199	1843372	9606.ENSP00000377958	9606.ENSP00000233893	0	0	0	0	0.916	0.451	0	0	0.951
